id	title	description	coding
cbc-news	Why Trump’s battle with U.S. mayors might hurt everyone, even him	New York City mayor-elect Zohran Mamdani is another Democratic mayor in an acrimonious relationship with U.S. President Donald Trump. But observers say these relationships matter and can impact both those mayors' cities and Trump's political ambitions.	
the-seattle-times	Mamdani says he wants to talk affordability with Trump and isn't worried he's walking into a trap	New York City Mayor-elect Zohran Mamdani says he plans to center an upcoming meeting with Republican President Donald Trump on how the two opposing leaders could work to make the city a more affordable place to live.	
new-york-magazine	Six Things to Know Now That It’s Election Day	When we may know the winner, what the turnout means so far, and some other things to think about now that mayoral race between Zohran Mamdani and Andrew Cuomo is about to end.	
los-angeles-times	‘Badhai!’ In India, a celebration for Zohran Mamdani’s New York mayoral win and his roots	The 34-year-old, Ugandan-born Mamdani is set to be New York’s youngest mayor in more than a century — and the first Muslim one — when he takes office on Jan. 1.	
the-wall-street-journal	Sliwa Warns Mamdani on Socialism: ‘We Are Mobilizing’	No summary available in snippet. (Could be video or online-only content)	
the-wall-street-journal	After a Dream Campaign, Mamdani Faces the Nightmare of Running New York City	Appeared in the Nov 7, 2025, print edition as 'Mamdani Faces A Complex Reality'	
the-new-york-times	Zohran Mamdani and the Revenge of the Struggling Yuppie	When the city becomes a “luxury product,” even the comfortable start to rebel.	
nbc-news	Newspaper removes interview with Bill de Blasio after former NYC mayor says the quotes were 'fabricated'	"A British newspaper has removed an article that included quotes attributed to former New York City Mayor Bill de Blasio criticizing Democratic mayoral nominee Zohran Mamdani after de Blasio said the quotes were fabricated.""The story in the Times of London is …"	
business-insider	The proposals NYC business leaders say they can live with under Zohran Mamdani, according to his CEO whisperer	Yasser Salem has built a business council to advise Mamdani if he wins. The McKinsey alum explains that bosses are open to free childcare.	
the-wall-street-journal	New York Police Commissioner Jessica Tisch to Stay in Post Under Mamdani	Appeared in the Nov 20, 2025, print edition as 'NYPD Boss Will Keep Post Under Mamdani'	
new-york-magazine	A Very Close Look at How Mamdani Carried the City	A conversation with voting data savant Michael Lange about where Mamdani and Cuomo dominated and what surprised him in the results.	
nbc-news	Republicans work to make Zohran Mamdani the face of the Democratic Party	Republicans are working to tie Zohran Mamdani, the Democratic socialist running for New York mayor, to the entire Democratic Party ahead of the midterm elections next year.	
